# openTime,open,high,low,close,volume,closeTime,qouteAssetVolume,numberOfTrades,takerBuyBaseAssetVolume,takerBuyQuoteAssetVolume,ignore
1603220400000, 11964.58000000, 11981.20000000, 11881.00000000, 11912.35000000, 2744.14457800, 1603223999999, 32742666.68809432, 39342, 1126.57586900, 13442658.73731057, 0
1603224000000, 11912.42000000, 11912.79000000, 11855.00000000, 11897.92000000, 2523.73134200, 1603227599999, 29989751.45520945, 39583, 1251.68494000, 14872868.66894053, 0
1603227600000, 11897.92000000, 11937.73000000, 11877.49000000, 11922.53000000, 1409.94290900, 1603231199999, 16790213.05081999, 28867, 642.18810300, 7647593.83831250, 0
1603231200000, 11922.53000000, 11961.00000000, 11918.22000000, 11950.66000000, 1270.09225000, 1603234799999, 15160673.37784566, 27532, 603.06308600, 7199003.45851949, 0
1603234800000, 11950.66000000, 11961.16000000, 11885.00000000, 11909.99000000, 1551.69178600, 1603238399999, 18500404.32793637, 24948, 757.03146400, 9026310.95767456, 0
1603238400000, 11910.00000000, 11983.73000000, 11886.95000000, 11975.55000000, 1964.29615800, 1603241999999, 23456387.54317901, 30285, 925.42385900, 11054024.42600187, 0
1603242000000, 11975.85000000, 12017.03000000, 11949.62000000, 11988.26000000, 2745.56754900, 1603245599999, 32915483.27823655, 36200, 1291.46486600, 15485452.77189125, 0
1603245600000, 11988.08000000, 12130.45000000, 11970.00000000, 12120.51000000, 4335.93090500, 1603249199999, 52244213.99601950, 45445, 2655.73462500, 32011189.33957220, 0
1603249200000, 12120.52000000, 12240.00000000, 12120.52000000, 12182.31000000, 6863.19422800, 1603252799999, 83623826.84489671, 74171, 3842.92550300, 46818337.09412849, 0
1603252800000, 12182.30000000, 12295.00000000, 12169.16000000, 12267.97000000, 4085.63024300, 1603256399999, 50004528.88975282, 50028, 2279.66567500, 27905680.01322288, 0
1603256400000, 12267.97000000, 12275.00000000, 12197.47000000, 12229.08000000, 2905.54970400, 1603259999999, 35562591.14052787, 38941, 1551.69460700, 18993594.74317145, 0
1603260000000, 12229.07000000, 12280.00000000, 12205.85000000, 12232.76000000, 2647.08579100, 1603263599999, 32422017.69153859, 34819, 1186.50377100, 14533303.86140453, 0
