,date,close,entry,sl,sl_fact,tp
60628,2021-02-05 07:00:00,1666.33,True,1603.531893394785,1.3,1747.9675385867795
60700,2021-02-06 19:00:00,1714.09,True,1664.8444430498819,1.3,1778.1092240351534
60753,2021-02-07 21:30:00,1596.76,True,1531.446571422924,1.3,1681.6674571501987
60857,2021-02-10 01:30:00,1803.74,True,1746.8411542671802,1.3,1877.7084994526658
60919,2021-02-11 09:30:00,1765.94,True,1720.5951418368481,1.3,1824.8883156120976
60974,2021-02-12 13:00:00,1788.04,True,1752.387485230142,1.3,1834.3882692008153
61117,2021-02-15 12:30:00,1805.14,True,1742.9653290095466,1.3,1885.9670722875896
61146,2021-02-16 03:00:00,1821.3,True,1759.908233358187,1.3,1901.1092966343567
61202,2021-02-17 07:00:00,1788.1,True,1739.6647247765195,1.3,1851.0658577905244
61316,2021-02-19 16:00:00,1948.28,True,1906.0861672948083,1.3,2003.131982516749
61401,2021-02-21 10:30:00,1971.19,True,1911.0489307494668,1.3,2049.3733900256934
61470,2021-02-22 21:00:00,1791.38,True,1685.1816465290397,1.3,1929.4378595122487
61526,2021-02-24 01:00:00,1587.62,True,1461.6513400694862,1.3,1751.3792579096678
61649,2021-02-26 14:30:00,1515.56,True,1444.883800124377,1.3,1607.4390598383097
61670,2021-02-27 01:00:00,1496.4,True,1426.3848439604942,1.3,1587.4197028513577
61707,2021-02-27 19:30:00,1512.0,True,1464.500057072894,1.3,1573.7499258052378
61755,2021-02-28 19:30:00,1389.24,True,1301.0183183294935,1.3,1503.9281861716586
61863,2021-03-03 01:30:00,1524.27,True,1469.3648831179794,1.3,1595.6466519466267
61984,2021-03-05 14:00:00,1508.54,True,1456.0091575921242,1.3,1576.8300951302385
62033,2021-03-06 16:00:00,1580.34,True,1513.8638636613202,1.3,1666.7589772402835
62095,2021-03-07 23:00:00,1715.14,True,1652.4159789199666,1.3,1796.6812274040435
62124,2021-03-08 13:30:00,1736.03,True,1679.8854429849775,1.3,1809.0179241195292
62220,2021-03-10 13:30:00,1844.35,True,1795.4633666037885,1.3,1907.9026234150747
62267,2021-03-11 13:00:00,1797.37,True,1750.1113504219854,1.3,1858.8062444514187
62352,2021-03-13 07:30:00,1790.17,True,1741.900574881124,1.3,1852.9202526545391
62494,2021-03-16 06:30:00,1790.72,True,1717.5222411499522,1.3,1885.8770865050624
62561,2021-03-17 16:00:00,1789.48,True,1741.6790875612344,1.3,1851.6211861703953
62609,2021-03-18 16:00:00,1827.92,True,1785.3303158625927,1.3,1883.2865893786297
62636,2021-03-19 05:30:00,1803.66,True,1756.308759442286,1.3,1865.2166127250284
62760,2021-03-21 19:30:00,1795.97,True,1774.962634507403,1.3,1823.2795751403762
62781,2021-03-22 06:00:00,1793.66,True,1766.0787964759872,1.3,1829.5155645812167
62851,2021-03-23 17:00:00,1714.92,True,1680.1257103491726,1.3,1760.1525765460758
62881,2021-03-24 08:00:00,1712.34,True,1666.164766190468,1.3,1772.3678039523913
62962,2021-03-26 00:30:00,1620.51,True,1577.156939116363,1.3,1676.8689791487282
63042,2021-03-27 16:30:00,1706.43,True,1669.7345145899726,1.3,1754.1341310330358
63119,2021-03-29 07:00:00,1705.42,True,1681.7029019858792,1.3,1736.2522274183573
63214,2021-03-31 06:30:00,1852.61,True,1819.5677566203285,1.3,1895.5649163935727
63231,2021-03-31 15:00:00,1844.49,True,1806.814878682358,1.3,1893.4676577129344
63412,2021-04-04 09:30:00,2058.16,True,2009.4859704376406,1.3,2121.436238431067
63464,2021-04-05 11:30:00,2057.03,True,2014.3648037365092,1.3,2112.4947551425385
63600,2021-04-08 07:30:00,2027.76,True,1987.4147286692564,1.3,2080.2088527299666
63613,2021-04-08 14:00:00,2047.58,True,1997.2339484736908,1.3,2113.029866984202
63684,2021-04-10 01:30:00,2096.98,True,2049.9683038094913,1.3,2158.0952050476612
63732,2021-04-11 01:30:00,2152.05,True,2104.975592612105,1.3,2213.2467296042637
63785,2021-04-12 04:00:00,2156.15,True,2125.5314872567737,1.3,2195.9540665661943
63828,2021-04-13 01:30:00,2165.45,True,2131.300590814101,1.3,2209.8442319416686
63916,2021-04-14 21:30:00,2426.14,True,2325.3868751480204,1.3,2557.119062307573
63960,2021-04-15 19:30:00,2478.51,True,2423.9732422506404,1.3,2549.407785074168
